point_id,domain,point_type,cover_class,doy_band,snow_free_doy,x_utm,y_utm
102,CRBU,non_vegetated,bare,early,127.65690612792969,335965.5,4302263.5
103,CRBU,non_vegetated,bare,early,123.4739761352539,335104.5,4300760.5
104,CRBU,non_vegetated,bare,early,127.9075927734375,336301.5,4302167.5
105,CRBU,non_vegetated,bare,early,124.5102310180664,328912.5,4303217.5
106,CRBU,non_vegetated,bare,early,124.38813781738281,319309.5,4325171.5
107,CRBU,non_vegetated,bare,early,121.35408020019531,329272.5,4307471.5
108,CRBU,non_vegetated,bare,early,117.19145965576172,330748.5,4302524.5
109,CRBU,non_vegetated,bare,early,107.1356201171875,334354.5,4299221.5
110,CRBU,non_vegetated,bare,early,125.7493896484375,336298.5,4302044.5
111,CRBU,non_vegetated,bare,early,109.14887237548828,334111.5,4299122.5
112,CRBU,non_vegetated,bare,early,125.06981658935547,332629.5,4304228.5
113,CRBU,non_vegetated,bare,early,122.72425842285156,335359.5,4301834.5
114,CRBU,non_vegetated,bare,early,105.92290496826172,336559.5,4297118.5
115,CRBU,non_vegetated,bare,early,113.56086730957031,332452.5,4304240.5
116,CRBU,non_vegetated,bare,early,127.34319305419922,332446.5,4304030.5
117,CRBU,non_vegetated,bare,early,128.368408203125,326257.5,4306274.5
118,CRBU,non_vegetated,bare,early,123.0320053100586,332269.5,4303928.5
119,CRBU,non_vegetated,bare,early,111.58320617675781,334000.5,4305674.5
120,CRBU,non_vegetated,bare,early,111.57697296142578,333601.5,4303163.5
121,CRBU,non_vegetated,bare,early,115.86058807373047,318901.5,4325537.5
122,CRBU,non_vegetated,bare,early,123.33927917480469,333088.5,4308755.5
123,CRBU,non_vegetated,bare,early,106.00407409667969,334501.5,4298876.5
124,CRBU,non_vegetated,bare,early,127.90977478027344,336925.5,4301615.5
125,CRBU,non_vegetated,bare,early,115.38861083984375,328492.5,4305458.5
126,CRBU,non_vegetated,bare,early,106.7773208618164,336847.5,4297814.5
127,CRBU,non_vegetated,bare,early,126.1780776977539,324289.5,4309895.5
128,CRBU,non_vegetated,bare,early,128.3973846435547,327976.5,4300100.5
129,CRBU,non_vegetated,bare,early,129.82931518554688,332434.5,4303931.5
130,CRBU,non_vegetated,bare,early,122.16849517822266,327823.5,4304444.5
131,CRBU,non_vegetated,bare,early,119.9853744506836,325399.5,4297676.5
132,CRBU,non_vegetated,bare,early,113.30012512207031,328288.5,4304480.5
133,CRBU,non_vegetated,bare,early,111.78140258789062,332671.5,4303061.5
134,CRBU,non_vegetated,bare,early,117.32681274414062,328786.5,4303823.5
135,CRBU,non_vegetated,bare,early,115.09111785888672,334045.5,4303460.5
136,CRBU,non_vegetated,bare,early,126.64356231689453,335959.5,4301435.5
137,CRBU,non_vegetated,bare,early,122.61365509033203,331900.5,4303385.5
138,CRBU,non_vegetated,bare,early,117.62602996826172,330226.5,4304924.5
139,CRBU,non_vegetated,bare,early,125.4254379272461,332155.5,4303580.5
140,CRBU,non_vegetated,bare,early,95.078399658203125,336997.5,4298240.5
141,CRBU,non_vegetated,bare,early,114.10899353027344,332011.5,4304267.5
142,CRBU,non_vegetated,bare,early,111.85542297363281,333871.5,4299899.5
143,CRBU,non_vegetated,bare,early,113.63238525390625,335074.5,4299320.5
144,CRBU,non_vegetated,bare,early,121.53246307373047,327838.5,4304390.5
145,CRBU,non_vegetated,bare,early,102.42594909667969,335965.5,4298504.5
146,CRBU,non_vegetated,bare,early,118.52334594726562,334099.5,4306418.5
147,CRBU,non_vegetated,bare,early,123.04979705810547,323728.5,4310096.5
148,CRBU,non_vegetated,bare,early,121.17031860351562,325636.5,4304483.5
149,CRBU,non_vegetated,bare,early,122.47979736328125,319288.5,4325084.5
150,CRBU,non_vegetated,bare,early,122.90988159179688,332674.5,4303871.5
151,CRBU,non_vegetated,bare,early,115.03382873535156,331009.5,4301489.5
152,CRBU,non_vegetated,bare,early,125.05390930175781,327313.5,4304609.5
153,CRBU,non_vegetated,bare,early,129.11431884765625,337330.5,4303376.5
154,CRBU,non_vegetated,bare,early,126.145263671875,329530.5,4307288.5
155,CRBU,non_vegetated,bare,early,120.71299743652344,331477.5,4300730.5
156,CRBU,non_vegetated,bare,early,117.2855224609375,328789.5,4303286.5
157,CRBU,non_vegetated,bare,early,115.51307678222656,329461.5,4302815.5
158,CRBU,non_vegetated,bare,early,128.0360565185547,319345.5,4325267.5
159,CRBU,non_vegetated,bare,early,110.04427337646484,319051.5,4325411.5
160,CRBU,non_vegetated,bare,early,110.0173568725586,333505.5,4299551.5
161,CRBU,non_vegetated,bare,early,121.80902862548828,330985.5,4305149.5
162,CRBU,non_vegetated,bare,early,110.50214385986328,334153.5,4299920.5
163,CRBU,non_vegetated,bare,early,108.45800018310547,334849.5,4298012.5
164,CRBU,non_vegetated,bare,early,115.75830078125,332215.5,4302461.5
165,CRBU,non_vegetated,bare,early,117.68782806396484,330742.5,4301615.5
166,CRBU,non_vegetated,bare,early,119.21894073486328,328558.5,4304522.5
167,CRBU,non_vegetated,bare,early,128.36900329589844,328201.5,4303391.5
168,CRBU,non_vegetated,bare,early,111.86650085449219,334201.5,4299713.5
169,CRBU,non_vegetated,bare,early,119.67606353759766,331270.5,4300943.5
170,CRBU,non_vegetated,bare,early,120.52830505371094,334066.5,4306364.5
171,CRBU,non_vegetated,bare,early,122.07687377929688,332152.5,4303781.5
172,CRBU,non_vegetated,bare,early,126.7466049194336,330745.5,4305785.5
173,CRBU,non_vegetated,bare,early,126.6752700805664,332467.5,4303070.5
174,CRBU,non_vegetated,bare,early,122.73892974853516,335734.5,4304582.5
175,CRBU,non_vegetated,bare,early,120.70068359375,332452.5,4302302.5
176,CRBU,non_vegetated,bare,early,115.75576782226562,334021.5,4309109.5
177,CRBU,non_vegetated,bare,early,94.73014831542969,336661.5,4303754.5
178,CRBU,non_vegetated,bare,early,122.85955047607422,326593.5,4314137.5
179,CRBU,non_vegetated,bare,early,111.15483093261719,336067.5,4299593.5
180,CRBU,non_vegetated,bare,early,127.7053451538086,331651.5,4297091.5
181,CRBU,non_vegetated,bare,early,116.46451568603516,328519.5,4305500.5
182,CRBU,non_vegetated,bare,early,112.28529357910156,330631.5,4302086.5
183,CRBU,non_vegetated,bare,early,121.61355590820312,332428.5,4304177.5
184,CRBU,non_vegetated,bare,early,129.44290161132812,328033.5,4305392.5
185,CRBU,non_vegetated,bare,early,126.79020690917969,335632.5,4303352.5
186,CRBU,non_vegetated,bare,early,119.13561248779297,328756.5,4304996.5
187,CRBU,non_vegetated,bare,early,104.35199737548828,336292.5,4297706.5
188,CRBU,non_vegetated,bare,early,120.87057495117188,329299.5,4311698.5
189,CRBU,non_vegetated,bare,early,111.95301055908203,332095.5,4304315.5
190,CRBU,non_vegetated,bare,early,97.40496063232422,335899.5,4298729.5
191,CRBU,non_vegetated,bare,early,107.54107666015625,335080.5,4299221.5
192,CRBU,non_vegetated,bare,early,90.96720886230469,337840.5,4298789.5
193,CRBU,non_vegetated,bare,early,129.03135681152344,324544.5,4304066.5
194,CRBU,non_vegetated,bare,early,120.48560333251953,332395.5,4302308.5
195,CRBU,non_vegetated,bare,early,122.55166625976562,332269.5,4303829.5
196,CRBU,non_vegetated,bare,early,127.8718032836914,332947.5,4303553.5
197,CRBU,non_vegetated,bare,early,115.25601959228516,328297.5,4304141.5
198,CRBU,non_vegetated,bare,early,129.18621826171875,328270.5,4305329.5
199,CRBU,non_vegetated,bare,early,120.86018371582031,335782.5,4304513.5
200,CRBU,non_vegetated,bare,early,118.60608673095703,332254.5,4304342.5
201,CRBU,non_vegetated,bare,early,123.8379135131836,324157.5,4309157.5
202,CRBU,non_vegetated,bare,early,115.67973327636719,333022.5,4301915.5
203,CRBU,non_vegetated,bare,early,119.39801025390625,329242.5,4302980.5
204,CRBU,non_vegetated,bare,early,110.20152282714844,333739.5,4299563.5
205,CRBU,non_vegetated,bare,early,113.47370910644531,331042.5,4301729.5
206,CRBU,non_vegetated,bare,early,118.17448425292969,333184.5,4301468.5
207,CRBU,non_vegetated,bare,early,120.17626190185547,333040.5,4303607.5
208,CRBU,non_vegetated,bare,early,124.77819061279297,329746.5,4307942.5
209,CRBU,non_vegetated,bare,early,120.52486419677734,327964.5,4304495.5
210,CRBU,non_vegetated,bare,early,115.49397277832031,331957.5,4301246.5
211,CRBU,non_vegetated,bare,early,102.39972686767578,336202.5,4298390.5
212,CRBU,non_vegetated,bare,early,125.4371566772461,332140.5,4303682.5
213,CRBU,non_vegetated,bare,early,129.5300750732422,329824.5,4315952.5
214,CRBU,non_vegetated,bare,early,122.15721130371094,330835.5,4305455.5
215,CRBU,non_vegetated,bare,early,116.50146484375,334975.5,4308803.5
216,CRBU,non_vegetated,bare,early,125.78982543945312,332239.5,4308203.5
217,CRBU,non_vegetated,bare,early,123.02534484863281,334930.5,4301255.5
218,CRBU,non_vegetated,bare,early,124.79905700683594,335809.5,4306484.5
219,CRBU,non_vegetated,bare,early,126.860107421875,332149.5,4303946.5
220,CRBU,non_vegetated,bare,early,111.98822021484375,329773.5,4302563.5
221,CRBU,non_vegetated,bare,early,121.02986145019531,335107.5,4304579.5
222,CRBU,non_vegetated,bare,early,127.03651428222656,334255.5,4311068.5
223,CRBU,non_vegetated,bare,early,117.25835418701172,330955.5,4305050.5
224,CRBU,non_vegetated,bare,early,128.9673614501953,327208.5,4308368.5
225,CRBU,non_vegetated,bare,early,114.7498550415039,335305.5,4303358.5
226,CRBU,non_vegetated,bare,early,118.63595581054688,331303.5,4301027.5
227,CRBU,non_vegetated,bare,early,115.18705749511719,333049.5,4301879.5
228,CRBU,non_vegetated,bare,early,115.37377166748047,334057.5,4308086.5
229,CRBU,non_vegetated,bare,early,108.35340118408203,334516.5,4298849.5
230,CRBU,non_vegetated,bare,early,127.1087875366211,322042.5,4308758.5
231,CRBU,non_vegetated,bare,early,118.51092529296875,331996.5,4302614.5
232,CRBU,non_vegetated,bare,early,125.30587768554688,324523.5,4308962.5
233,CRBU,non_vegetated,bare,early,104.89303588867188,331567.5,4304609.5
234,CRBU,non_vegetated,bare,early,125.6023941040039,325990.5,4307744.5
235,CRBU,non_vegetated,bare,early,120.63105773925781,331480.5,4301720.5
236,CRBU,non_vegetated,bare,early,118.63008117675781,329911.5,4302848.5
237,CRBU,non_vegetated,bare,early,124.19242858886719,328705.5,4303223.5
238,CRBU,non_vegetated,bare,early,101.36740112304688,335716.5,4298813.5
239,CRBU,non_vegetated,bare,early,127.11271667480469,319261.5,4325210.5
240,CRBU,non_vegetated,bare,early,128.66476440429688,330796.5,4300934.5
241,CRBU,non_vegetated,bare,early,118.733642578125,329752.5,4304519.5
242,CRBU,non_vegetated,bare,early,118.84563446044922,336829.5,4306433.5
243,CRBU,non_vegetated,bare,early,120.96102142333984,335746.5,4303838.5
244,CRBU,non_vegetated,bare,early,127.53324890136719,332179.5,4303454.5
245,CRBU,non_vegetated,bare,early,128.8934326171875,336328.5,4302074.5
246,CRBU,non_vegetated,bare,early,122.47091674804688,325165.5,4297736.5
247,CRBU,non_vegetated,bare,early,124.21036529541016,332557.5,4303946.5
248,CRBU,non_vegetated,bare,early,113.5911865234375,330670.5,4301912.5
249,CRBU,non_vegetated,bare,early,114.53164672851562,331210.5,4301504.5
250,CRBU,non_vegetated,bare,early,116.77178192138672,332656.5,4302299.5
251,CRBU,non_vegetated,bare,early,111.8794174194336,329365.5,4307210.5
252,CRBU,non_vegetated,bare,early,129.1299591064453,332686.5,4303721.5
253,CRBU,non_vegetated,bare,early,118.01118469238281,336919.5,4307405.5
254,CRBU,non_vegetated,bare,early,122.91707611083984,332992.5,4303655.5
255,CRBU,non_vegetated,bare,early,115.1610336303711,327955.5,4304120.5
256,CRBU,non_vegetated,bare,early,117.1090316772461,332560.5,4302029.5
257,CRBU,non_vegetated,bare,early,118.67452239990234,331510.5,4300763.5
258,CRBU,non_vegetated,bare,early,125.13298034667969,332296.5,4304303.5
259,CRBU,non_vegetated,bare,early,127.41059875488281,332197.5,4303367.5
260,CRBU,non_vegetated,bare,early,121.31065368652344,332041.5,4303907.5
261,CRBU,non_vegetated,bare,early,121.73666381835938,332242.5,4303469.5
262,CRBU,non_vegetated,bare,early,115.3612289428711,331999.5,4304234.5
263,CRBU,non_vegetated,bare,early,106.3578109741211,333061.5,4302836.5
264,CRBU,non_vegetated,bare,early,113.0855941772461,334090.5,4300730.5
265,CRBU,non_vegetated,bare,early,123.40835571289062,335143.5,4305749.5
266,CRBU,non_vegetated,bare,early,121.02033233642578,328654.5,4304690.5
267,CRBU,non_vegetated,bare,early,116.5757064819336,331258.5,4302590.5
268,CRBU,non_vegetated,bare,early,119.24813079833984,332590.5,4302089.5
269,CRBU,non_vegetated,bare,early,118.5504379272461,328492.5,4304528.5
270,CRBU,non_vegetated,bare,early,126.93180084228516,318871.5,4325198.5
271,CRBU,non_vegetated,bare,early,119.10601043701172,331141.5,4297055.5
272,CRBU,non_vegetated,bare,early,116.76587677001953,330784.5,4303412.5
273,CRBU,non_vegetated,bare,early,123.27141571044922,326563.5,4304345.5
274,CRBU,non_vegetated,bare,early,114.78826141357422,331303.5,4301144.5
275,CRBU,non_vegetated,bare,early,129.3529510498047,336925.5,4301600.5
276,CRBU,non_vegetated,bare,early,102.98485565185547,335686.5,4299029.5
277,CRBU,non_vegetated,bare,early,129.22653198242188,329521.5,4299323.5
278,CRBU,non_vegetated,bare,early,109.98876190185547,334183.5,4299791.5
279,CRBU,non_vegetated,bare,early,126.80370330810547,334705.5,4306349.5
280,CRBU,non_vegetated,bare,early,126.09548950195312,332476.5,4303610.5
281,CRBU,non_vegetated,bare,early,106.33444213867188,336409.5,4297559.5
282,CRBU,non_vegetated,bare,early,117.05878448486328,331090.5,4305062.5
283,CRBU,non_vegetated,bare,early,129.5888671875,328993.5,4308341.5
284,CRBU,non_vegetated,bare,early,115.06085205078125,331960.5,4304183.5
