a,b,short_a,short_b,n_a,n_b,dist,ratio,same_top1,same_parent,doy_a,doy_b,top1_a,top1_b
S05.a,S06.b,Silver-sage sedge park,Subalpine mixed meadow,24,82,0.19272802034986042,0.524160497123626,FALSE,FALSE,126.13806215922038,143.2728446402201,Artemisia cana Montane Wet Shrubland Alliance,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland"
S04.b,S19,Sagebrush-kinnikinnick matrix,Dry montane grass park,43,25,0.20015057935729366,0.5262337032232549,FALSE,FALSE,115.22257747206577,122.09057525634766,Dryas integrifolia - Dryas octopetala - Arctostaphylos uva-ursi Rocky Mountain Fell-field Dwarf-shrubland Alliance,Sporobolus cryptandrus - Artemisia campestris Wet Meadow Alliance
S02.a,S10.a,Montane forb-grass meadow,Snowberry mesic meadow,47,30,0.17675434486259975,0.5277311334750279,FALSE,FALSE,128.4723697418862,133.76779301961264,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Danthonia intermedia - Solidago multiradiata Grassland
S06.b,S12,Subalpine mixed meadow,Rocky sparse forb slope,82,25,0.18309095235784256,0.5319112898620554,FALSE,FALSE,143.2728446402201,161.35852783203126,"Festuca thurberi - (Lathyrus lanszwertii, Potentilla spp.) Grassland",Geum rossii - Sibbaldia procumbens Alpine Snowbed
S02.a,S12,Montane forb-grass meadow,Rocky sparse forb slope,47,25,0.18217705555472125,0.5372756504714206,FALSE,FALSE,128.4723697418862,161.35852783203126,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Geum rossii - Sibbaldia procumbens Alpine Snowbed
S18,S20,Low sagebrush-rabbitbrush steppe,Rocky buckwheat barren,30,13,0.16125244997737534,0.5437453267228298,FALSE,FALSE,101.7091542561849,133.669188279372,Chrysothamnus viscidiflorus - Ericameria nauseosa - Krascheninnikovia lanata Steppe Group,Poa nervosa - Achnatherum lettermanii Grassland
S01.a,S20,Montane mixed shrub-meadow,Rocky buckwheat barren,53,13,0.19745382515551038,0.5462023296606998,FALSE,FALSE,122.99547317792783,133.669188279372,Chrysothamnus viscidiflorus Shrub Grassland,Poa nervosa - Achnatherum lettermanii Grassland
S02.a,S25,Montane forb-grass meadow,Low mixed shrub-steppe,47,21,0.18224565822679498,0.5519065124285002,FALSE,FALSE,128.4723697418862,97.45130193801154,Artemisia tridentata ssp. vaseyana / Festuca thurberi Shrubland,Purshia tridentata - Ribes cereum Shrubland Alliance
S01.a,S05.a,Montane mixed shrub-meadow,Silver-sage sedge park,53,24,0.19760734344646658,0.5575357303414791,FALSE,FALSE,122.99547317792783,126.13806215922038,Chrysothamnus viscidiflorus Shrub Grassland,Artemisia cana Montane Wet Shrubland Alliance
S07,S21,Alpine snowbed forb turf,Brome disturbed meadow,24,14,0.18994074019718252,0.5610453049584693,FALSE,FALSE,169.97183799743652,165.87781742640905,Cardamine cordifolia - Mertensia ciliata - Senecio triangularis Wet Meadow,Bromus inermis - (Pascopyrum smithii) Ruderal Grassland
