point_id,point_type,doy_band,snow_free_doy,ndvi_18,ndvi_25,ndvi_diff,ndwi_18,ndwi_25,ndwi_diff,brightness_18,brightness_25,brightness_diff
38,non_vegetated,early,125.21866607666016,0.20337754260438315,0.2080830829418097,0.004705540337426539,-0.0926605776334828,-0.08559037695110551,0.007070200682377292,0.21178769286918023,0.23696599861726753,0.0251783057480873
39,non_vegetated,early,127.38727569580078,0.21511812998126936,0.2522222864950721,0.03710415651380275,-0.24355688284186455,-0.2560194014117414,-0.012462518569876846,0.20640059653996382,0.19699259876812758,-0.009407997771836235
41,non_vegetated,early,121.96295166015624,0.2970150334985521,0.3244189468014107,0.02740391330285863,-0.1631109555992739,-0.2028796576566999,-0.039768702057426,0.2201266485173799,0.18791299123120944,-0.032213657286170455
42,non_vegetated,early,123.8955078125,-0.07746291882421409,0.18410639513302574,0.2615693139572398,0.47362668093079346,-0.10228203399251855,-0.575908714923312,0.039180143502655224,0.1219115251577214,0.08273138165506617
43,non_vegetated,early,113.3216323852539,0.28065769631159115,0.18017387062137383,-0.10048382569021733,-0.08134122812535234,-0.11048491046431685,-0.029143682338964513,0.0243386216900088,0.3055183836024756,0.2811797619124668
44,non_vegetated,early,120.48815155029295,0.03100742739234839,0.05721186829939266,0.026204440907044272,-0.010269285296393269,-0.025072958957394198,-0.01480367366100093,0.13473452327892796,0.11895524176894222,-0.01577928150998574
45,non_vegetated,early,109.18817138671876,0.11178026009489893,0.12297790771253261,0.011197647617633685,-0.07476606276521715,-0.08006457964601799,-0.005298516880800838,0.19604116522255,0.2135320727457431,0.0174909075231931
46,non_vegetated,early,112.68620300292967,0.1606169936168038,0.14405789001167024,-0.016559103605133546,-0.07755030443322701,-0.09779031660468655,-0.020240012171459543,0.19144986176002782,0.1758174405634752,-0.015632421196552615
47,non_vegetated,early,129.97325134277344,0.16014955017649027,0.1702075077950249,0.010057957618534619,-0.13307979173597823,-0.12927504186505331,0.0038047498709249117,0.26484814149638003,0.10613714558186763,-0.1587109959145124
50,non_vegetated,early,124.99401092529295,0.24432469610298396,0.4650996335686213,0.2207749374656373,-0.11468297565996784,0.047281992359627,0.16196496801959484,0.2578442756761934,0.020101730584586308,-0.23774254509160708
51,non_vegetated,early,119.02429962158205,0.28736279638696144,0.13023259446717575,-0.1571302019197857,-0.10621282054313778,-0.1061427564462084,7.006409692938975e-5,0.1880725153661958,0.19588957355515657,0.00781705818896078
53,non_vegetated,early,126.19587707519533,0.19011226717507199,0.2237758397111097,0.03366357253603772,-0.24458243672206814,-0.2535226275659873,-0.008940190843919171,0.18018507688409763,0.17420427021706655,-0.0059808066670310744
54,non_vegetated,early,119.77751159667967,0.17199741899632764,0.2175878688549124,0.045590449858584764,-0.20801516736017353,-0.23724113315169362,-0.029225965791520092,0.242808575836713,0.20119887078671084,-0.041609705050002166
55,non_vegetated,early,117.44573211669922,0.344496278570492,0.14488386772569478,-0.1996124108447972,-0.12707742934546862,-0.05739466137191048,0.06968276797355813,0.22485069151074555,0.22107005975051222,-0.0037806317602333273
56,non_vegetated,early,118.95074462890624,0.3621659159697107,0.12223582439143044,-0.23993009157828027,-0.10378477572268893,-0.05474591809163626,0.049038857631052674,0.1721875983546352,0.2244874917907499,0.052299893436114686
57,non_vegetated,early,119.48301696777344,0.17822636292414687,0.19453997705195542,0.016313614127808546,-0.1999743643718337,-0.19447078831996473,0.005503576051868964,0.39783827672489197,0.3278679175814342,-0.06997035914345778
58,non_vegetated,early,115.8006820678711,0.38333870301575756,0.16514352333616283,-0.21819517967959473,0.03019548543712838,-0.08269527720153359,-0.11289076263866198,0.054112619503090764,0.22526275051528952,0.17115013101219875
61,non_vegetated,early,121.23208618164062,0.23080965281169183,0.26802072849463016,0.03721107568293833,-0.22980574500130466,-0.2329158158105087,-0.0031100708092040297,0.23269754957560204,0.22682808098650128,-0.005869468589100757
62,non_vegetated,early,110.76839447021484,0.2055145089058378,0.2064782717377012,9.637628318633906e-4,-0.04669002605090053,-0.08299410486198655,-0.03630407881108602,0.2687291448097131,0.19623615665916808,-0.07249298815054503
64,non_vegetated,early,127.19330596923828,0.10939968971660706,0.13367426992235232,0.024274580205745258,-0.06620803157985632,-0.1029653413482723,-0.036757309768415986,0.21568009503926455,0.20574753767217122,-0.009932557367093336
67,non_vegetated,early,128.9014434814453,0.10783319203795004,0.09417180077273186,-0.013661391265218176,-0.047818748782634174,-0.015608695061572852,0.032210053721061324,0.15826228713039417,0.29466860722205795,0.13640632009166379
68,non_vegetated,early,124.80040740966795,0.16599631294242476,0.3563916661373298,0.19039535319490505,-0.0996678257552126,-0.18593463748752337,-0.08626681173231077,0.27289482250983943,0.23456031695356844,-0.03833450555627099
70,non_vegetated,early,113.1018524169922,0.3968818774395918,0.4439148469284956,0.047032969488903786,-0.14302001363387343,-0.13326568773851968,0.009754325895353744,0.22313768926419722,0.19433692859714505,-0.028800760667052172
71,non_vegetated,early,126.3589324951172,0.25151086408172835,0.2870185739877952,0.03550770990606683,-0.14786527523961146,-0.13932679153308838,0.008538483706523076,0.2060911441973426,0.19497495640439594,-0.011116187792946652
72,non_vegetated,early,111.63518524169922,0.13791697533595984,0.17428691354251816,0.03636993820655832,-0.051307457774301776,-0.0782001616497066,-0.026892703875404822,0.162585089547418,0.23021023317910086,0.06762514363168287
75,non_vegetated,early,124.5102310180664,0.1635092672927346,0.32948627722669155,0.16597700993395695,-0.08625856946822458,-0.07434524171483017,0.011913327753394404,0.17581603907876536,0.14902328866049216,-0.026792750418273198
