band,wavelength_nm,2018,2025,Both years
39,574,0.29894543610484475,0.265181256063441,0.2524508171399696
40,579,0.26557420584789876,0.23468746836542348,0.2236082519392663
41,584,0.2305744883394467,0.20485332495759226,0.1942063118920477
42,589,0.20580448363654982,0.1828326679379568,0.17256036166011157
43,594,0.1897531746975394,0.16722060023726157,0.15762093891567586
44,599,0.17487512797303043,0.15542144860602233,0.14620024582791225
45,604,0.16876001531991866,0.15338315898972332,0.14393922558728
46,609,0.15684950225239908,0.14448626889793378,0.1362154996327597
47,614,0.14473648798328334,0.13750766371233034,0.13017519935600155
48,619,0.13588786177265677,0.13701879126328034,0.12927940952746908
49,624,0.14388454540509077,0.15085292110209647,0.14180139072822243
50,629,0.14038620134135596,0.15159335596602824,0.14149423392419708
51,634,0.15015223646536846,0.16634317818162195,0.15509301575281012
52,639,0.16597304924347817,0.18449854368193203,0.17188549110311216
53,644,0.18805994952651375,0.2134747337831261,0.19885456914678884
54,649,0.19945961347589208,0.23512388654968144,0.2162530689474904
55,654,0.22558616898028158,0.26852306629392814,0.24608553426913274
56,659,0.27468816772039945,0.32368469392673554,0.29445173416917875
57,664,0.3264634858079602,0.3822539305342527,0.342911459855826
58,669,0.39016074750282415,0.45629393886321656,0.4049630516329564
59,674,0.4793598624000073,0.5529390474996332,0.48974716346656205
60,679,0.48030836097711344,0.5547962815873755,0.4868619855662407
61,684,0.44872569195172496,0.5367845258920246,0.47259668266119415
62,689,0.3454812074424646,0.4299616273121394,0.38126862510623194
63,694,0.28591492224730347,0.3591353002432054,0.32295439476357596
64,699,0.3449094780254278,0.3910356153510501,0.3577690384988708
65,704,0.48845077877842163,0.4910861881358151,0.45958590479025296
66,709,0.6482370529091211,0.5924557430641547,0.5768838927348252
67,714,0.77184691382183,0.6450940513680432,0.6710747619712666
68,719,0.7951244587595412,0.6509881930430981,0.7235719868568147
69,724,0.8121368657053228,0.6603681154986673,0.7723254943504326
70,729,0.7626382380729945,0.6608040563068485,0.7628482515308066
71,734,0.6681718604933832,0.6096009820527262,0.6819132654915299
72,739,0.6110195533948868,0.5908311548791763,0.6236601802675296
73,744,0.47820679700913976,0.48715135831439443,0.48575147761436543
74,749,0.39115119885203486,0.410392268911577,0.4015747376291749
75,754,0.3491361813157776,0.3758021645622117,0.362444266275605
76,759,0.3689121885027903,0.3903700170515445,0.373008797743461
77,764,0.32526440565843096,0.34631966387517654,0.3292289190777335
78,769,0.2729411261732342,0.30527093450812437,0.287263287014818
79,774,0.246348793625403,0.2798656056631064,0.26221199816429885
80,779,0.22524562990494024,0.2586574001372087,0.24135650142942977
81,785,0.20702231576541896,0.23988108920708212,0.22325377564647858
82,790,0.1924977835787342,0.22420292745993028,0.2081603963640548
83,795,0.18023564800582106,0.21068293742378175,0.19523941329577857
84,800,0.16888172559538997,0.1979042972012403,0.18301613338889275
85,805,0.15959727708120458,0.18678436119862427,0.17254992613027176
86,810,0.1523708219780292,0.17796244213683043,0.16423819821648722
87,815,0.14690909543715855,0.17019754528973324,0.15716045350823596
88,820,0.14013121730697622,0.16059285918592747,0.1484103586273925
89,825,0.13551584056305335,0.15372639200337782,0.1420982096635837
90,830,0.1326317940397363,0.14926185163901579,0.13777989724226106
91,835,0.1320479677588695,0.1467521904049299,0.13568014169482337
92,840,0.13643850967982543,0.1488426128749034,0.13803223345565116
93,845,0.14235568280673166,0.15250880934804742,0.14205235710819433
94,850,0.14734524771842178,0.15593525466982341,0.1458753027518466
95,855,0.15398891272975884,0.16123309970907534,0.15181182979287583
96,860,0.16293558163846478,0.16854339200533763,0.159695486349449
97,865,0.17328635150520175,0.177316466421791,0.1689266895243656
98,870,0.18071187492240418,0.18381705345683033,0.17636816536277777
99,875,0.18649867958024643,0.18872872189392007,0.182004003415228
100,880,0.1898500340581735,0.1914636990210213,0.18568312973915513
101,885,0.19161270060477498,0.19309005681184763,0.1880337127650421
102,890,0.1870241930184241,0.1867268253182682,0.18337602641429582
103,895,0.17529065082948103,0.17364621313133902,0.1718235220906716
104,900,0.16700747361818605,0.16405492646042308,0.16387222012026134
105,905,0.1668186475348164,0.16234904710685125,0.16395580725698625
106,910,0.16484604349952128,0.1578716737807232,0.1608782157038074
107,915,0.1656072144536243,0.15523801647431273,0.1600233022957676
108,920,0.16317183376677533,0.15277216140332395,0.15795310390113929
109,925,0.15848448808504553,0.14644415999889412,0.15226321156134967
110,930,0.17940231557220504,0.15762083412167613,0.16413095901030622
111,935,0.27141858966028926,0.23699097091654003,0.24124577448876988
112,940,0.26609710658334085,0.2340520296284543,0.23558443792598566
113,945,0.25489913953748683,0.227583981814844,0.22601572318747226
114,950,0.261945957347334,0.2415719026226309,0.2344730880230057
115,955,0.2639527142085468,0.24342009958481042,0.23398409473421797
116,960,0.2741713273483992,0.25879203677213936,0.24668581180329277
