site_number,Year,class_type,final_label,snow_free_doy,canopy_height_m
77,2018,meadow,S08.a,142.6956024169922,0.1509999930858612
82,2018,meadow,S08.a,142.8865509033203,0
166,2018,meadow,S08.a,134.39999389648438,0
167,2018,meadow,S08.a,134.39999389648438,0
199,2018,meadow,S08.a,153.03770446777344,0
211,2018,meadow,S08.a,146.32040405273438,0
212,2018,meadow,S08.a,146.32040405273438,0
213,2018,meadow,S08.a,146.32040405273438,0
215,2018,meadow,S08.a,144.0836944580078,0
216,2018,meadow,S08.a,144.0836944580078,0
217,2018,meadow,S08.a,144.40716552734375,0
218,2018,meadow,S08.a,144.17105102539062,0
334,2018,meadow,S08.a,145.2064666748047,0
335,2018,meadow,S08.a,145.2064666748047,0
336,2018,meadow,S08.a,145.2064666748047,0
337,2018,meadow,S08.a,142.76145935058594,0
342,2018,meadow,S08.a,142.1215057373047,0
343,2018,meadow,S08.a,142.82862854003906,0
344,2018,meadow,S08.a,143.30477905273438,0
346,2018,meadow,S08.a,143.32313537597656,0
414,2018,meadow,S08.a,157.86761474609375,0
420,2018,meadow,S08.a,155.93362426757812,0
422,2018,meadow,S08.a,157.86761474609375,0
1153,2025,meadow,S08.a,140.9752197265625,0
1157,2025,meadow,S08.a,144.5980987548828,0
1158,2025,meadow,S08.a,144.5980987548828,0
1193,2025,meadow,S08.a,160.08087158203125,0.34599998593330383
1226,2025,meadow,S08.a,136.69888305664062,0
1238,2025,meadow,S08.a,138.8246307373047,0
1267,2025,meadow,S08.a,160.4213104248047,0
156,2018,meadow,S08.b,145.8924560546875,0
157,2018,meadow,S08.b,146.69264221191406,0
172,2018,meadow,S08.b,136.04603576660156,0
207,2018,meadow,S08.b,148.95018005371094,0
1151,2025,meadow,S08.b,138.41079711914062,0
1152,2025,meadow,S08.b,140.9752197265625,0
1156,2025,meadow,S08.b,141.51536560058594,0
1160,2025,meadow,S08.b,143.34889221191406,0
1161,2025,meadow,S08.b,137.9351806640625,0
1168,2025,meadow,S08.b,141.86593627929688,0.23000000417232513
201,2018,meadow,S08.c,154.44668579101562,3.0169999599456787
1201,2025,meadow,S08.c,161.06158447265625,0
1213,2025,meadow,S08.c,175.83045959472656,0
1266,2025,meadow,S08.c,160.4213104248047,0
1269,2025,meadow,S08.c,158.65370178222656,0
1272,2025,meadow,S08.c,157.84130859375,0
1273,2025,meadow,S08.c,158.86537170410156,0
1274,2025,meadow,S08.c,160.15562438964844,0
1275,2025,meadow,S08.c,158.86537170410156,0
1278,2025,meadow,S08.c,157.0463104248047,0
1284,2025,meadow,S08.c,159.24339294433594,1.3040000200271606
144,2018,meadow,S09,141.22064208984375,0
145,2018,meadow,S09,140.13070678710938,0
148,2018,meadow,S09,141.7646942138672,0
149,2018,meadow,S09,141.7646942138672,0
150,2018,meadow,S09,141.65284729003906,0
152,2018,meadow,S09,140.20933532714844,0
153,2018,meadow,S09,141.65284729003906,0
155,2018,meadow,S09,140.5793914794922,0
349,2018,meadow,S09,144.8688507080078,0
404,2018,meadow,S09,158.10308837890625,0
405,2018,meadow,S09,158.10308837890625,0
407,2018,meadow,S09,157.3649139404297,0
409,2018,meadow,S09,156.72879028320312,0
411,2018,meadow,S09,157.8673858642578,0
412,2018,meadow,S09,155.7978973388672,0
413,2018,meadow,S09,157.4200897216797,0
415,2018,meadow,S09,156.8701171875,0
416,2018,meadow,S09,154.70643615722656,0
417,2018,meadow,S09,152.67295837402344,0
421,2018,meadow,S09,160.48614501953125,0
423,2018,meadow,S09,157.74600219726562,0
1162,2025,meadow,S09,139.7649383544922,0
1194,2025,meadow,S09,160.3986358642578,0
1196,2025,meadow,S09,162.6004180908203,0
180,2018,meadow,S10,138.5402069091797,0
1180,2025,meadow,S10,138.4307861328125,0
1181,2025,meadow,S10,137.1986541748047,0
1185,2025,meadow,S10,138.3237762451172,0
1186,2025,meadow,S10,137.37155151367188,0
1187,2025,meadow,S10,137.37155151367188,0
1189,2025,meadow,S10,137.4877166748047,0
202,2018,meadow,S11,154.44668579101562,0
219,2018,meadow,S11,149.724609375,0
220,2018,meadow,S11,148.47250366210938,0
221,2018,meadow,S11,148.67408752441406,0
222,2018,meadow,S11,148.67408752441406,0
223,2018,meadow,S11,148.87937927246094,0.2590000033378601
225,2018,meadow,S11,148.87937927246094,0
226,2018,meadow,S11,149.30506896972656,0
227,2018,meadow,S11,152.65933227539062,0
229,2018,meadow,S11,148.49252319335938,0
232,2018,meadow,S11,146.15943908691406,0
233,2018,meadow,S11,146.15943908691406,0.14100000262260437
234,2018,meadow,S11,143.15211486816406,0.30399999022483826
235,2018,meadow,S11,148.11923217773438,0
