band_idx,wavelength_nm,center,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
35,554,0.014672927320827126,-0.012848400791798095,0.009608358940497094,0.08925471718409579,0.08467601964605077,0.03493389331426629,0.04056215017603519,0.03689397344984338,-0.01963665148940453,-0.02229762147233651,-0.012105681625839422,-7.840870607321623e-4,-0.06953147590272626,0.030817436204531548,0.04476596409689632,-0.007236589775674581,0.09474504345215366,-0.1745290280664138,0.0608479052988678,0.043553104658031944,0.07378384344657404
36,559,0.014795330129868832,-0.013662691202813259,0.010024562293794812,0.08928552313570177,0.08575285374685739,0.039976930516362835,0.039154308433598704,0.035362152697149395,-0.015227365986222464,-0.020670349820621877,-0.011404533324843069,-5.797832328094439e-4,-0.056201889782787715,0.027852959983319492,0.03467285695640724,-0.0013963658212119783,0.10510210246033798,-0.17603950863359696,0.06616351104739163,0.031911335930586066,0.06314441987702477
37,564,0.014758215367666108,-0.014823396406604114,0.010561623241826858,0.0883851465364077,0.08750584917530027,0.046061539737178796,0.03184493656257352,0.03020095207043844,-0.010034741853636144,-0.018349384039595365,-0.0118654518624766,0.006250494532888885,-0.0473102898010416,0.017842603849284457,0.037878588831184376,-0.015436427896110981,0.10632498873719609,-0.16852132332580536,0.06131946056547239,0.018689018673501152,0.05431661916839057
38,569,0.014601416903515414,-0.01622204189867228,0.011069529073946805,0.0875451898914695,0.08883991458859004,0.053482482024312675,0.02664987250275574,0.029343555484078698,-0.005352687995694145,-0.013710573947091435,-0.011660760203393872,0.01435457788917846,-0.03960793350771288,0.016111616286425805,0.027633573470371455,-0.015203390317645324,0.10559890594492262,-0.14873754967733957,0.059956878729605,0.0033449956027447963,0.06187119729011548
39,574,0.01435513225264569,-0.017634434413755874,0.011684093498308352,0.08500171140805869,0.08929891475281064,0.05937398098830588,0.020654799752011017,0.02634363087645123,0.0021956116338844828,-0.007471299317465272,-0.008501498351123472,0.013835371587482754,-0.027071457660232456,0.010435524504466503,0.020373527187628023,-0.01620275737722387,0.10831201092675452,-0.14000960707329724,0.04258507439453795,6.524003876854409e-5,0.04665840186868543
40,579,0.014197718451064338,-0.01883222953808879,0.012077136673888367,0.08411754102744885,0.09020394045227716,0.06477057430794643,0.014005849469005476,0.02335575898217861,0.005900272276947134,-0.0016516660880528157,-0.007635917817130412,0.017352351533329476,-0.02149307314359835,0.0010552000320301405,0.015085694048577824,-0.0168679082345974,0.09628994192171068,-0.12871524306054952,0.04366576366613664,-0.011543197136126344,0.047854470073630716
41,584,0.014143166534364754,-0.01986529036365724,0.012547318409091854,0.08249693956759133,0.09130630169297359,0.06906440377186529,0.009444255893194795,0.02118988741405513,0.012119225629848686,0.0021131116685120617,-0.0070445995897065235,0.018313740446083446,-0.011265758972865301,-0.003843619491478448,0.013625371880224496,-0.020597637921792585,0.09031152749543583,-0.11387331932133353,0.03502546294707896,-0.01896238919600328,0.03453193613607995
42,589,0.01414928466103279,-0.02065499374063215,0.012690309273194773,0.08253955884502277,0.09144164839188533,0.07316185975268318,0.005323404071519113,0.020401952840107585,0.013320665342733877,0.00580241991043703,-0.0072531407721906915,0.026361897044645307,-0.008959701015921261,-0.005955763591288032,0.004255657236584853,-0.019708322316513087,0.08720332389201398,-0.09651015162027199,0.017382131008694526,-0.04411892816775344,0.017373462880972607
43,594,0.014229004503555196,-0.021320116873087467,0.012839291627378603,0.08174393271096496,0.09166913477775876,0.0759385609149905,0.002335659301843528,0.017508369866600797,0.014684903942833975,0.007910509985042549,-0.004752862894180211,0.025224161186851588,-0.0020911025946760502,-0.008970650194363427,-0.001732585202188048,-0.029258426838233695,0.08096388153215375,-0.08121051977596652,0.01773511380621024,-0.03873207462661438,0.03584653044872712
44,599,0.014326034197624571,-0.021875570433795097,0.012712321214952882,0.08139186509763098,0.09137257122587722,0.07807629819276214,-5.930297238232605e-4,0.014201830652542397,0.01498382544346148,0.015324887903410266,-0.008797608270338845,0.02709495931596232,0.0044017967344773595,-0.015887764433286034,-0.004297028637130334,-0.027846721576849705,0.07357113585163318,-0.07081878339266158,0.01555395190548741,-0.04228239266609154,0.031432316301458214
45,604,0.01437530521059418,-0.02250114701170816,0.012609847518849068,0.08020091192004043,0.091085490650106,0.08112180941882256,-0.005170611085476995,0.012836250397853438,0.016183278085213842,0.01739856475283483,-0.007165160573659365,0.024948416065767535,0.017827747031317943,-0.018344194680941422,-0.0038321269561134123,-0.03184781882281821,0.06943479283946959,-0.0643098527115315,0.00808016894815528,-0.0563219628125409,0.016560248908642487
46,609,0.014326316928390162,-0.023118709172018557,0.012578552245191702,0.07946712074762252,0.09086506715321717,0.08351872879003133,-0.008763077205599585,0.01220397886044132,0.017398801475978627,0.022769187178662015,-0.005970979315588299,0.02819121064519317,0.022004752788491226,-0.018595684862601665,-0.006767929411231604,-0.026230353121585566,0.055448655263691776,-0.056282013692036115,-0.00300173660016472,-0.05395939734946556,0.021063698228670238
47,614,0.01422166121161476,-0.023778848617329696,0.0123614547893699,0.07797078060832763,0.08971327820837868,0.08538965219910456,-0.013013239498263772,0.01106026772638574,0.020596076940783022,0.029122991743465148,-0.005383058834319309,0.03121055481078008,0.029939253381768016,-0.021483238905995572,-0.004915302152340806,-0.02537328642611506,0.037457290407962064,-0.044197435755975546,-0.009996793422999636,-0.061119737413692136,0.003355306938844335
48,619,0.014175775782789583,-0.02439139755228096,0.012325919317114941,0.07674036908820586,0.08943569575391214,0.08706060508730099,-0.017606302362904048,0.011446853519891678,0.024078601369386398,0.03606889252046412,-0.0028019753007988467,0.03344630502461756,0.04022029197965925,-0.022822664322301223,-0.0072078987235893325,-0.020634433683095355,0.018548647398133694,-0.03224054036141976,-0.01679802743996629,-0.04562053408773011,-0.005376245118992778
49,624,0.014222392374541495,-0.02483937036742555,0.012071089624555368,0.07645528846511195,0.08841979334367372,0.08969910021945633,-0.019297370752696764,0.009587457809368665,0.023916941170755716,0.04312858218930187,-0.0025398186195663163,0.03386727640944499,0.05168476910782828,-0.026701312126481132,-0.01233215470955881,-0.019636384810971297,0.011920012906649947,-0.01790379287313061,-0.01722759560751993,-0.05306392048142362,-0.01214120975217477
50,629,0.014319523371649082,-0.025160343346416734,0.011759956963944124,0.07546761711470511,0.08776246649260647,0.09099310488043477,-0.023111780176810384,0.00822090444747958,0.026060444689171108,0.04781383219764499,-0.007310587267878024,0.03639310909859615,0.05266759929938483,-0.02130766060403176,-0.007718680911787939,-0.015578916574164978,0.005207441198731007,-0.00618686103559579,-0.019910608759682816,-0.04821258983690808,-0.008477749129299734
51,634,0.014387669384746959,-0.025582337183755768,0.011528714021174911,0.07537293236025304,0.08696926792497135,0.09261861954812228,-0.02595512619439272,0.006923066701261087,0.02604501252163471,0.05106978592771266,-0.008411728904058467,0.0360869046745217,0.06069325543291972,-0.02341093030333096,-0.012722870644379228,-0.014211298848378838,0.0017907475966432243,5.334021588171801e-4,-0.027498488595095055,-0.05020566182259077,-0.01318158233276025
52,639,0.014317175592867009,-0.026166105100944515,0.011715126564338338,0.07460405541144947,0.08683899556944755,0.0947346890611234,-0.03089268658049588,0.007305809650486467,0.029312829876806657,0.05704931896505943,-0.004460142532041671,0.04413925617878173,0.06440031782514773,-0.022155848057700742,-0.014501942654427061,-0.010378367599301469,-0.009560583021320289,0.005217529912286819,-0.02607025108033163,-0.053900385860818904,-0.027455365083119212
53,644,0.014161185270640378,-0.026855207108096715,0.01221490329693769,0.07388864436740877,0.08585603669676867,0.09519838724519226,-0.0366822328749054,0.00990101633113927,0.03342045329465539,0.061390291861125434,0.003101354633117956,0.04794220671849518,0.0736234231192235,-0.02452570220255539,-0.021544015738226473,0.0027493306386712035,-0.03170548285820841,0.012474605969230229,-0.035806449905251704,-0.05451549355714745,-0.02497142603225975
54,649,0.01397736745523018,-0.027351772204803393,0.012837267132782463,0.07186955550159546,0.08511803552143642,0.09613631911817402,-0.04129857633810181,0.00844763768213046,0.03687228435418675,0.06321904967071239,0.009126407007939876,0.05815870227282419,0.07797119465079157,-0.013816752808532173,-0.02425899844258784,0.002059001427212262,-0.04863258049902061,0.014698071435778908,-0.04764964462680413,-0.04222650385711388,-0.007670670775292387
55,654,0.013909881047234198,-0.02787268122096281,0.012854405865348265,0.07148153320454058,0.08361143630996751,0.09645320533750153,-0.04367701407119757,0.009729520256790098,0.043945399815838275,0.0684957405553443,0.011263601002838202,0.0602885639859089,0.0826923598757283,-0.014231078845910596,-0.03293398971665927,0.007280020996789206,-0.06680972435615479,0.017184864347827834,-0.0550632980188699,-0.031969841211587385,-0.007747003015604762
56,659,0.013775594313816817,-0.02840285551907284,0.013305435341254975,0.07017849852035345,0.08222047080867409,0.0981152458919198,-0.050627031377475644,0.007900114448851867,0.047817816146812145,0.06940247733579057,0.02200421645277414,0.06743476399561125,0.08853240101269765,-0.009117153058869214,-0.03805295255057984,0.014381075364369889,-0.09251926277618179,0.023580758433192676,-0.07125318375889994,-0.022085506839135283,0.031025938051617435
