x_utm,y_utm,snow_free_doy,doy_band,domain,tile
348505.5,4289716.5,110.48725128173828,early,ALMO,ALMO_2025_mosaic_rfl_348000_4289000.nc
331046.5,4310122.5,120.41683959960938,early,CRBU,CRBU_2025_mosaic_rfl_331000_4310000.nc
336259.5,4306662.5,124.11857604980469,early,CRBU,CRBU_2025_mosaic_rfl_336000_4306000.nc
329706.5,4308947.5,128.01853942871094,early,CRBU,CRBU_2025_mosaic_rfl_329000_4308000.nc
332121.5,4310365.5,122.52526092529297,early,CRBU,CRBU_2025_mosaic_rfl_332000_4310000.nc
341367.5,4279707.5,87.43463897705078,early,ALMO,ALMO_2025_mosaic_rfl_341000_4279000.nc
344121.5,4288020.5,93.20924377441406,early,ALMO,ALMO_2025_mosaic_rfl_344000_4288000.nc
341349.5,4287566.5,106.64932250976562,early,ALMO,ALMO_2025_mosaic_rfl_341000_4287000.nc
335253.5,4304569.5,122.55232238769531,early,CRBU,CRBU_2025_mosaic_rfl_335000_4304000.nc
343622.5,4285008.5,108.19513702392578,early,ALMO,ALMO_2025_mosaic_rfl_343000_4285000.nc
326646.5,4307998.5,122.86265563964844,early,CRBU,CRBU_2025_mosaic_rfl_326000_4307000.nc
346844.5,4282926.5,109.70760345458984,early,ALMO,ALMO_2025_mosaic_rfl_346000_4282000.nc
326283.5,4307434.5,121.3049087524414,early,CRBU,CRBU_2025_mosaic_rfl_326000_4307000.nc
345904.5,4285695.5,104.30452728271484,early,ALMO,ALMO_2025_mosaic_rfl_345000_4285000.nc
347919.5,4285215.5,104.49952697753906,early,ALMO,ALMO_2025_mosaic_rfl_347000_4285000.nc
333361.5,4302149.5,116.01594543457031,early,CRBU,CRBU_2025_mosaic_rfl_333000_4302000.nc
339022.5,4283848.5,90.0941162109375,early,ALMO,ALMO_2025_mosaic_rfl_339000_4283000.nc
341913.5,4278854.5,83.37016296386719,early,ALMO,ALMO_2025_mosaic_rfl_341000_4278000.nc
329505.5,4305494.5,112.57723236083984,early,CRBU,CRBU_2025_mosaic_rfl_329000_4305000.nc
337376.5,4280818.5,92.933349609375,early,ALMO,ALMO_2025_mosaic_rfl_337000_4280000.nc
342067.5,4287164.5,108.60034942626953,early,ALMO,ALMO_2025_mosaic_rfl_342000_4287000.nc
344382.5,4283737.5,117.74581146240234,early,ALMO,ALMO_2025_mosaic_rfl_344000_4283000.nc
338682.5,4291683.5,97.0348129272461,early,ALMO,ALMO_2025_mosaic_rfl_338000_4291000.nc
343100.5,4279488.5,112.38408660888672,early,ALMO,ALMO_2025_mosaic_rfl_343000_4279000.nc
359520.5,4312533.5,128.0222930908203,early,UPTA,UPTA_2025_mosaic_rfl_359000_4312000.nc
361691.5,4308569.5,123.22447967529297,early,UPTA,UPTA_2025_mosaic_rfl_361000_4308000.nc
342778.5,4284008.5,95.73326110839844,early,ALMO,ALMO_2025_mosaic_rfl_342000_4284000.nc
341556.5,4290056.5,92.62220001220703,early,ALMO,ALMO_2025_mosaic_rfl_341000_4290000.nc
345883.5,4287737.5,86.44111633300781,early,ALMO,ALMO_2025_mosaic_rfl_345000_4287000.nc
327652.5,4306761.5,123.64611053466797,early,CRBU,CRBU_2025_mosaic_rfl_327000_4306000.nc
340109.5,4284236.5,98.37736511230469,early,ALMO,ALMO_2025_mosaic_rfl_340000_4284000.nc
327265.5,4306254.5,118.68640899658203,early,CRBU,CRBU_2025_mosaic_rfl_327000_4306000.nc
329289.5,4313074.5,129.056640625,early,CRBU,CRBU_2025_mosaic_rfl_329000_4313000.nc
329646.5,4301152.5,124.29502868652344,early,CRBU,CRBU_2025_mosaic_rfl_329000_4301000.nc
340514.5,4286677.5,106.36190795898438,early,ALMO,ALMO_2025_mosaic_rfl_340000_4286000.nc
340799.5,4287662.5,96.34032440185547,early,ALMO,ALMO_2025_mosaic_rfl_340000_4287000.nc
342000.5,4279659.5,87.31494140625,early,ALMO,ALMO_2025_mosaic_rfl_341000_4279000.nc
340193.5,4290929.5,101.81546020507812,early,ALMO,ALMO_2025_mosaic_rfl_340000_4290000.nc
