band,wavelength_nm,importance,importance_pct,communality,sd_pct
97,865,0.0011796940580536064,0.1855524361115083,0.03638567895283234,0.0039113386046662636
98,870,0.0012113387612844944,0.19052978742936172,0.03716321257347179,0.0037272598678859945
99,875,0.0012336169697537527,0.19403389582547526,0.037724324768478895,0.0036398384390692613
100,880,0.0012454191530364728,0.1958902448039184,0.03785530833200349,0.0035433627246970775
101,885,0.0012491862675860375,0.196482769007131,0.03780065311225627,0.00354169963288858
102,890,0.001219035152731909,0.19174034212579869,0.03672005081504389,0.003561472055848794
103,895,0.0011432315413413146,0.1798172976181559,0.03502840328305001,0.0038038918815759483
104,900,0.0010920615301803314,0.1717688377976165,0.03392124044936752,0.004083638726417522
105,905,0.0010926667641382945,0.17186403420430416,0.03337590193595185,0.004126794810522225
106,910,0.001072565922440284,0.16870240079647686,0.03299007696618781,0.004194778309324683
107,915,0.0010685660037908725,0.16807325916049143,0.032940854382757075,0.004306585047881645
108,920,0.0010545987012348602,0.16587636158566543,0.03234485003271755,0.004336464943575535
109,925,0.0010201132871747779,0.16045219881610814,0.031192434379461953,0.004272927739868152
110,930,0.0010836066621391382,0.1704389833736372,0.035527991933106406,0.00440180489857119
111,935,0.001508142452117649,0.23721362677313523,0.053543579587401316,0.005663646774028201
112,940,0.001476907671276047,0.23230075157723004,0.05462244509575105,0.005981190086984132
113,945,0.0014135859832945293,0.22234097142622286,0.054305900768833064,0.006033631410017608
114,950,0.001449784267595892,0.2280345491715043,0.059821013991714536,0.007129331848617356
115,955,0.0014439225437089167,0.22711256678156516,0.061970844548119484,0.008248564109359756
116,960,0.0015000373170427587,0.23593878136055418,0.06646731452455172,0.0098210703358027791
117,965,0.0014873591158896915,0.2339446447508092,0.0655698500721109,0.011024080261556834
118,970,0.0014999879900289505,0.2359310227832216,0.06255101988160487,0.01079386036787064
119,975,0.0015780853390168512,0.24821484608437883,0.061804682259161796,0.010613740005729176
120,980,0.00160016102296422,0.2516870996803835,0.06157944045377671,0.010740069127198269
121,985,0.0018075122015270945,0.2843010778981032,0.06499563761802267,0.010735501981940418
122,990,0.0018744825904020513,0.29483475713319746,0.06352085970802854,0.009634017037965792
123,995,0.0019274787710654698,0.3031704526125215,0.06296908298782146,0.008799094351485298
124,1000,0.0018859142450007847,0.2966328261707579,0.06054140184141931,0.007813111787859412
125,1000,0.0017117338445145568,0.2692362334588965,0.053532886396572665,0.0063908499693019335
126,1010,0.0015575821131222694,0.2449899222264413,0.04737999579892718,0.0053708671490021506
127,1010,0.0014066267256667897,0.2212463594821013,0.04170118143946036,0.004566637568705335
128,1020,0.001330683907660568,0.20930141935967933,0.03867603123900452,0.004080228856994245
129,1020,0.0013246147951921682,0.2083468171084784,0.03840197976947305,0.003928856782292613
130,1030,0.0013420004071707083,0.21108137581366512,0.03925471763355233,0.003999006393233612
