point_type,band_number,wavelength_nm,mean_18,mean_25,mean_diff,sd_diff,n_pairs,pooled_sd,t_stat,cohens_d,ci95_lo,ci95_hi
vegetated,63,694,0.023063202052821773,0.018473950925235044,-0.004589251127586684,0.004916946787583812,1058,0.008481982745344285,-30.35911790821776,-0.5410587671975281,-0.004885535500448358,-0.00429296675472501
vegetated,64,699,0.02604026537570844,0.02170124803237658,-0.004339017343331857,0.004616783697032355,1058,0.007841780989903043,-30.56994745062379,-0.5533203935328861,-0.004617214550136571,-0.004060820136527142
vegetated,65,704,0.02950130136775651,0.02550495850052119,-0.003996342867235262,0.004322474857032982,1058,0.0070720213463164715,-30.072746933727554,-0.5650920255376201,-0.0042568056722142224,-0.0037358800622563013
vegetated,66,709,0.03310370718479142,0.029435505355157154,-0.003668201829634276,0.004148727757155976,1058,0.0063669956818536095,-28.75948600507263,-0.5761275824466022,-0.003918195017440729,-0.003418208641827823
vegetated,67,714,0.036819029664581435,0.03381618033451873,-0.003002849330062755,0.004135804566582779,1058,0.005837929950673493,-23.616545254813694,-0.5143688525615713,-0.0032520637948974607,-0.0027536348652280494
vegetated,68,719,0.0410511053531106,0.038752432762060036,-0.0022986725910504767,0.004407000915473181,1058,0.0056849956971597605,-16.965896392945602,-0.40434025169076204,-0.0025642287499535966,-0.0020331164321473567
vegetated,69,724,0.04507474055657951,0.04371645762938708,-0.001358282927192439,0.004967199237441209,1058,0.006187275181649905,-8.894499101629105,-0.21952844948949532,-0.0016575954018892513,-0.001058970452495627
vegetated,70,729,0.04907417430711272,0.0485365958999735,-5.375784071391915e-4,0.005806848465052209,1058,0.007296517228969464,-3.01123158494402,-0.0736760279280691,-8.87486293088921e-4,-1.87670521189462e-4
vegetated,71,734,0.05243373445441541,0.05264436148040069,2.1062702598534014e-4,0.006648497112840241,1058,0.008619230027603956,1.0304654734731669,0.024436872587317637,-1.899967518689857e-4,6.11250803839666e-4
vegetated,72,739,0.05520269380728895,0.05615681547120529,9.541216639164259e-4,0.007483604975541382,1058,0.009927177846431998,4.147016235960602,0.0961120752217967,5.031761274461508e-4,0.001405067200386701
vegetated,73,744,0.05688315237440087,0.0585105617003269,0.0016274093259260921,0.008107576060079958,1058,0.010996886791687487,6.5290290752316515,0.14798818581602985,0.0011388646675915804,0.002115953984260604
vegetated,74,749,0.05814598761393104,0.06030735333123907,0.002161365717308058,0.008497954960706712,1058,0.011662599910334893,8.272878906792366,0.18532451888302787,0.0016492976871032836,0.0026734337475128327
vegetated,75,754,0.059048435958210715,0.061570038298345155,0.002521602340134506,0.008750216661829312,1058,0.012104367590859852,9.373475014553742,0.20832169224921732,0.0019943335759899494,0.0030488711042790627
vegetated,76,759,0.05923255468901468,0.06193295491957186,0.0027004002305571935,0.008800889384259254,1058,0.012285908558465447,9.980318653311816,0.21979654314588867,0.0021700780398788656,0.0032307224212355214
vegetated,77,764,0.060530358713154986,0.06359706450268911,0.003066705789534077,0.009001084961444476,1058,0.012570743981003751,11.082049505445113,0.2439557908560004,0.002524320254752497,0.003609091324315657
vegetated,78,769,0.06118361246249098,0.0644069725185051,0.003223360056014154,0.009089572138840688,1058,0.012704296027138804,11.534750709266218,0.25372205190499664,0.0026756424790133375,0.0037710776330149706
