final_label,n,doy_mean,doy_sd,doy_min,doy_max,doy_iqr,dip_p,range,moisture,elevation
M01,34,163.62305270924287,9.93057944160342,138.10812377929688,178.18783569335938,10.649051666259766,0.14074628569225967,40.0797119140625,mesic,subalpine
S26,7,104.18187931605748,9.03185562567286,88.24772644042969,119.30097961425781,1.9578971862792969,NA,31.053253173828125,mesic,montane
S09.a,19,148.69068266216078,8.713760378905828,138.93505859375,162.6004180908203,16.49248504638672,1.5145104275571253e-4,23.665359497070312,mesic,subalpine
S06.b,82,143.2728446402201,8.625604109019049,130.2974853515625,176.2230987548828,7.152381896972656,0.7188885170155965,45.92561340332031,mesic,subalpine
S24.a,16,88.94909238815308,8.559999523432651,75.06449890136719,103.43907165527344,13.652107238769531,0.4890843089794259,28.37457275390625,dry,montane
S07,24,169.97183799743652,7.986166828043243,150.1039581298828,178.25392150878906,4.252925872802734,0.651842886204454,28.14996337890625,wet,alpine
Osmorhiza occidentalis,8,140.2346534729004,7.957471690183829,129.1354522705078,152.65933227539062,10.030502319335938,0.3991468665853566,23.523880004882812,mesic,subalpine
Ligusticum porteri,15,144.9791493733724,7.745758737408443,132.8850555419922,162.69566345214844,6.079627990722656,0.9031953446055457,29.81060791015625,wet,subalpine
S04.a,13,124.72013620229868,7.633027364411569,109.03271484375,137.1842041015625,10.226364135742188,0.7519854298881655,28.1514892578125,dry,montane
S05.a,24,126.13806215922038,7.389755282634078,102.14083862304688,138.69534301757812,8.226482391357422,0.2272613217377618,36.55450439453125,dry,montane
S24.b,9,85.04329766167535,6.318316384267214,76.78892517089844,96.14949035644531,6.414161682128906,0.5351077557519253,19.360565185546875,dry,montane
S22,17,126.1892157161937,5.129131207477151,116.90682983398438,140.02157592773438,3.7902297973632812,0.592870704656661,23.11474609375,dry,montane
S10.c,10,136.66498107910155,3.7941738724701444,127.6531982421875,140.40371704101562,3.7505455017089844,0.8063529481786303,12.750518798828125,mesic,montane
S17,7,102.19395555768695,3.7725169794815967,99.90532684326172,110.63740539550781,0.98581695556640625,NA,10.732078552246094,dry,montane
S21,14,165.87781742640905,3.272023142706449,162.29762268066406,173.79286193847656,3.939838409423828,0.007539755777207224,11.4952392578125,mesic,subalpine
S23,18,144.4867926703559,1.9353393731087065,139.79833984375,147.24456787109375,2.0211181640625,0.3579249860221614,7.44622802734375,mesic,subalpine
S20,13,133.669188279372,1.8693488925735535,131.1419219970703,136.966064453125,1.8463134765625,0.7540383574811715,5.8241424560546875,dry,montane
