x_utm,y_utm,domain,snow_free_doy,canopy_height_m,predicted_label,nearest_class,nearest_d,second_class,second_d,margin,ood_flag
342373.5,4280575.5,ALMO,92.6784439086914,0,S22,S22,15.773546246808904,S25,16.145831381227676,0.37228513441877276,TRUE
347400.5,4280053.5,ALMO,108.6951141357422,0,S01,S18,12.408530093665972,S04,12.562880859653541,0.15435076598756936,TRUE
339310.5,4292749.5,ALMO,81.48802185058594,0,S25,S24.b,14.653283649991293,S25,15.02022174037722,0.3669380903859274,TRUE
338406.5,4286743.5,ALMO,85.42699432373047,0,S24.a,S24.b,18.500089730408888,S24.a,18.803602750812857,0.3035130204039689,TRUE
341496.5,4289947.5,ALMO,89.13912200927734,0,S25,S18,15.635734766915174,S25,15.719077257016673,0.08334249010149897,TRUE
342028.5,4287440.5,ALMO,109.28720092773438,0,S10,S10,9.736987143768367,S19,9.75502724303565,0.018040099267283338,TRUE
345706.5,4285815.5,ALMO,101.83570861816406,0,S18,S24.b,15.003055630395492,S24.a,15.131586907719063,0.12853127732357095,TRUE
338064.5,4284113.5,ALMO,98.4117660522461,0,S18,S24.b,16.259025424312167,S24.a,16.573897504770212,0.31487208045804493,TRUE
347544.5,4285830.5,ALMO,101.46862030029295,0,S05.a,S05.b,12.354941698985726,S19,12.750027405584671,0.3950857065989446,TRUE
345388.5,4288692.5,ALMO,95.4963150024414,0,S25,S24.b,16.843697396006103,S24.a,17.101210357284867,0.25751296127876344,TRUE
350406.5,4276536.5,ALMO,116.1613311767578,0,S01,S05.b,11.850037922253225,S05.a,12.204492656471528,0.35445473421830265,TRUE
341922.5,4279755.5,ALMO,92.70894622802734,0,S01,S18,14.61731908153585,S01,14.62229982295459,0.004980741418739498,TRUE
348073.5,4281521.5,ALMO,110.26109313964844,0,S05.b,S05.b,15.088616002312612,S05.a,15.671312138852292,0.5826961365396794,TRUE
342022.5,4288464.5,ALMO,89.961273193359375,0,S25,S25,15.702758558417871,S24.b,15.990979177410145,0.28822061899227336,TRUE
341892.5,4282137.5,ALMO,107.15084075927734,0,S18,S24.b,16.55359385207081,S18,16.940012043971205,0.3864181919003933,TRUE
343394.5,4283848.5,ALMO,102.79883575439452,0,S24.b,S24.b,17.805800907568916,S24.a,18.028960735230694,0.2231598276617781,TRUE
339490.5,4290725.5,ALMO,100.93196868896484,0,S24.b,S24.b,18.586013478646283,S24.a,19.021949522281847,0.4359360436355644,TRUE
347316.5,4280053.5,ALMO,108.27826690673828,0,S18,S18,17.01135414132088,S24.b,17.268130829886342,0.25677668856546276,TRUE
340817.5,4279785.5,ALMO,85.22735595703125,0,S24.a,S24.b,17.63276895284188,S24.a,17.773249477372545,0.14048052453066617,TRUE
347784.5,4281134.5,ALMO,109.77405548095705,0,S18,S24.b,15.988844790900629,S24.a,16.228278231053665,0.2394334401530358,TRUE
340481.5,4287380.5,ALMO,100.2458724975586,0,S18,S24.b,17.055870238573736,S24.a,17.354440800264513,0.2985705616907772,TRUE
343853.5,4282773.5,ALMO,86.743988037109375,0.09799999743700027,S25,S25,16.954511361375577,S24.a,17.33329688128232,0.37878551990674225,TRUE
341010.5,4280227.5,ALMO,108.95004272460938,0,S25,S18,16.4737865683061,S05.b,16.78600278474736,0.31221621644126074,TRUE
345022.5,4280098.5,ALMO,96.777069091796875,0,S02,S02,16.205800143812823,S24.b,16.532490540282406,0.32669039646958353,TRUE
344352.5,4280215.5,ALMO,112.04851531982422,0,S05.b,S05.b,14.507777872909376,S05.a,15.36574482438003,0.8579669514706545,TRUE
349304.5,4281596.5,ALMO,89.15837097167969,0,S18,S24.a,15.47638503736845,S24.b,15.488671951477148,0.012286914108697644,TRUE
340016.5,4282569.5,ALMO,92.52214813232422,0,S24.a,S24.b,18.001059033070703,S24.a,18.39652880003606,0.3954697669653555,TRUE
340664.5,4280707.5,ALMO,97.18516540527344,0,S24.b,S24.b,17.705226191985663,S24.a,17.970396355461023,0.2651701634753607,TRUE
348286.5,4279794.5,ALMO,105.58417510986328,0.49900001287460327,S18,S18,16.372890697197036,S22,16.47427695516227,0.1013862579652347,TRUE
341361.5,4291221.5,ALMO,99.048492431640625,0,S18,S18,14.673210150685374,S25,14.768746119845579,0.09553596916020446,TRUE
342643.5,4282104.5,ALMO,105.94388580322266,0,S18,S18,14.610692546468654,S10,14.940157747198151,0.3294652007294978,TRUE
347172.5,4279527.5,ALMO,115.9066162109375,0.4160000085830689,S18,S18,16.71489304585527,S02,16.772437868875258,0.0575448230199882,TRUE
342157.5,4285893.5,ALMO,87.51628875732422,0,S25,S24.b,16.20673959632477,S24.a,16.34000234846204,0.13326275213727,TRUE
341271.5,4282860.5,ALMO,91.8538055419922,0,S24.a,S24.b,17.44614465119135,S24.a,17.662222458515107,0.2160778073237566,TRUE
347793.5,4288506.5,ALMO,95.6624984741211,0,S22,S24.b,18.745966554936132,S24.a,18.762204958882588,0.01623840394645626,TRUE
340193.5,4285080.5,ALMO,95.71778106689452,0,S24.b,S24.b,17.78402609768281,S24.a,18.109520491369473,0.32549439368666455,TRUE
341682.5,4287857.5,ALMO,106.46672821044922,0,S01,S05.b,12.74020013063904,S18,13.092656834385227,0.35245670374618676,TRUE
338898.5,4291716.5,ALMO,100.44437408447266,0,S18,S18,14.877222884942608,S02,15.07532870504412,0.198105820101512,TRUE
349799.5,4281638.5,ALMO,87.8528823852539,0,S18,S24.b,15.711877378239816,S24.a,15.77721513581523,0.06533775757541349,TRUE
341892.5,4280026.5,ALMO,82.21034240722656,0,S18,S24.b,17.95404644429016,S24.a,18.273986949410975,0.3199405051208153,TRUE
341658.5,4291737.5,ALMO,101.97604370117188,0,S04,S05.b,12.431719316589673,S04,12.47750741022693,0.04578809363725789,TRUE
341883.5,4279728.5,ALMO,97.11802673339844,0,S25,S25,15.540988279580862,S24.b,15.785006186997343,0.244017907416481,TRUE
348922.5,4279728.5,ALMO,103.77456665039062,0,S18,S24.b,17.361419599381342,S18,17.411044753308264,0.049625153926921683,TRUE
348349.5,4287362.5,ALMO,110.67996978759766,0,S18,S24.b,16.960494370412107,S24.a,17.23051981093444,0.2700254405223319,TRUE
338082.5,4285875.5,ALMO,100.2658233642578,0,S25,S24.b,14.97172694200615,S24.a,15.105657433975916,0.1339304919697657,TRUE
339052.5,4288665.5,ALMO,94.57582092285156,0,S22,S22,17.537074094372528,S05.b,18.35682656325352,0.8197524688809921,TRUE
339877.5,4282434.5,ALMO,88.63626861572266,0,S24.b,S24.b,18.559733999643218,S24.a,18.880203840361457,0.32046984071823914,TRUE
347211.5,4281380.5,ALMO,110.56270599365234,0,S04,S19,6.933057919276007,S04,6.939814407027421,0.006756487751413687,FALSE
338625.5,4292422.5,ALMO,102.22437286376952,0,S18,S18,15.867795613320146,S25,16.01895440574379,0.1511587924236455,TRUE
339520.5,4281596.5,ALMO,89.84232330322266,0,S25,S24.a,18.128420721745755,S24.b,18.506970511925957,0.37854979018020174,TRUE
340946.5,4285323.5,ALMO,99.65208435058594,0,S18,S24.b,15.442257972459174,S24.a,15.529900275942577,0.08764230348340263,TRUE
