band_number,wavelength_nm,delta,sd_diff,n_pairs
230,1530,0.001216012145184947,0.010472749719241222,1057
231,1540,0.001215321287999107,0.010465976373319709,1057
232,1540,0.001186507793571236,0.010438090990268408,1057
233,1550,0.001224571427505381,0.010420386023673723,1057
234,1550,0.001221887708977595,0.010390058848101883,1057
235,1560,0.0011650102306889445,0.01035411625055407,1057
236,1560,0.0011842233372175964,0.010338957690488657,1057
237,1570,0.001209445465197614,0.010333050304227905,1057
238,1570,0.0011563577430791527,0.01033698416113706,1057
239,1580,0.0010631233424106582,0.010335376616437303,1057
240,1580,0.0010274135258462563,0.010279543251433064,1057
241,1590,0.0011357734863264807,0.01019631998407498,1057
242,1590,0.0010023478105795434,0.01021065522948596,1057
243,1600,0.001054081811200959,0.010201184438252789,1057
244,1600,9.249751819582334e-4,0.01022752627804953,1057
245,1610,9.437900298624005e-4,0.010204216712415079,1057
246,1610,8.167946330984722e-4,0.010209199820623691,1057
247,1620,9.200325057865514e-4,0.01015954556181049,1057
248,1620,0.0011075588907773879,0.010137805946396124,1057
249,1630,8.457798854571064e-4,0.010123827428210184,1057
250,1630,0.0011443191497644103,0.010100598912537454,1057
251,1640,0.0012719551753450633,0.01007231927123096,1057
252,1640,0.0010539263286835322,0.010101945805319215,1057
253,1650,0.0010113805640765328,0.010018168521930184,1057
254,1650,0.0010709105902792797,0.009922189178693792,1057
255,1660,0.0012169020285767707,0.010002505842525546,1057
256,1660,0.0010323252430978803,0.010040839693592398,1057
257,1670,0.0010783696385869227,0.00995335218082667,1057
258,1670,0.0015834953271002396,0.010005919920319897,1057
259,1680,0.0012488301488631738,0.01002149265202371,1057
260,1680,0.0010979176198981043,0.010047871421939263,1057
261,1690,0.0012285896914247586,0.010020603352102284,1057
262,1690,0.0015204118311814814,0.00996838446851216,1057
263,1700,0.0016859332207207652,0.009959480813736122,1057
264,1700,0.0012488401807350354,0.010005824909316799,1057
265,1710,0.0012600720336915189,0.010018130003217341,1057
266,1710,0.0016014841600350527,0.00998600508146207,1057
267,1720,0.0015750252883163032,0.010010111263722445,1057
268,1720,0.0014842218374621623,0.009996445774510598,1057
269,1730,0.0017233895263549018,0.009982360263050521,1057
270,1730,0.0017602301922914913,0.010017939825586948,1057
271,1740,0.0018066465657907453,0.01000531090157388,1057
272,1740,0.002083264209565554,0.009949179255109407,1057
273,1750,0.0021703532443787163,0.009975102398980747,1057
274,1750,0.002242366757553532,0.009981010342543286,1057
275,1760,0.002135155177259986,0.010016655888219065,1057
276,1760,0.0024980492881893726,0.009996024541317096,1057
277,1770,0.0024207666404462377,0.010028867489884437,1057
278,1770,0.002695611994883859,0.010032422106788263,1057
279,1780,0.0027874232719143997,0.010098625260676574,1057
280,1780,0.0030707930247742127,0.010008188079733221,1057
